 count,0,10,15,30,55,75,80,90
139,0.06,10.06,15.02,30.01,55.02,74.97,79.97,89.9,
140,0.07,10.06,15.03,30.0,55.06,74.98,79.95,89.91,
141,0.07,10.06,15.02,29.98,55.03,75.0,79.94,89.91,
142,0.07,10.07,15.03,30.01,55.04,74.98,79.95,89.92,
143,0.06,10.06,15.03,29.98,55.04,74.97,79.95,89.89,
144,0.05,10.06,15.05,29.97,55.04,74.97,79.95,89.9,
145,0.06,10.07,15.05,29.98,55.04,74.98,79.95,89.9,
146,0.07,10.06,15.03,29.98,55.03,75.0,79.95,89.91,
147,0.04,10.06,15.03,30.0,55.03,74.97,79.95,89.9,
148,0.06,10.03,15.03,29.99,55.03,74.95,79.97,89.91,
149,0.05,10.05,15.02,29.97,55.02,74.97,79.95,89.9,
150,0.07,10.06,15.03,29.97,55.03,74.95,79.95,89.9,
151,0.06,10.06,15.05,30.0,55.04,74.98,79.98,89.91,
152,0.05,10.07,15.03,29.98,55.03,74.97,79.98,89.9,
153,0.06,10.07,15.02,30.01,55.04,74.98,79.97,89.92,
154,0.07,10.06,15.04,30.0,55.04,74.98,79.95,89.92,
155,0.05,10.06,15.02,30.0,55.03,74.99,79.98,89.91,
156,0.08,10.05,15.03,29.98,55.04,74.96,79.95,89.91,
157,0.07,10.03,15.02,29.97,55.03,74.95,79.94,89.91,
158,0.07,10.06,15.03,30.0,55.03,74.98,79.98,89.91,
159,0.06,10.06,15.03,30.0,55.03,74.97,79.97,89.92,
160,0.07,10.07,15.03,30.0,55.04,74.98,79.95,89.91,
161,0.05,10.05,15.03,29.98,55.04,74.97,79.95,89.9,
162,0.06,10.05,15.02,29.98,55.02,74.98,79.95,89.9,
163,0.05,10.06,15.03,29.98,55.04,74.96,79.95,89.9,
164,0.05,10.05,15.03,29.98,55.03,74.97,79.95,89.91,
165,0.06,10.07,15.02,29.97,55.02,74.98,79.97,89.9,
166,0.05,10.05,15.02,29.98,55.02,74.97,79.95,89.91,
167,0.05,10.06,15.02,29.97,55.03,74.99,79.95,89.91,
168,0.05,10.05,15.02,29.98,55.03,74.97,79.95,89.91,
169,0.06,10.05,15.02,29.98,55.04,74.95,79.95,89.9,
170,0.07,10.05,15.02,29.98,55.04,74.95,79.95,89.92,
171,0.07,10.05,15.05,30.0,55.03,74.98,79.97,89.9,
172,0.06,10.07,15.02,29.98,55.02,74.97,79.95,89.91,
173,0.05,10.06,15.02,30.0,55.03,74.97,79.95,89.91,
174,0.04,10.07,15.02,30.0,55.03,74.98,79.95,89.91,
175,0.07,10.05,15.03,29.97,55.03,74.98,79.95,89.92,
176,0.07,10.05,15.02,30.0,55.03,74.97,79.98,89.91,
177,0.05,10.06,15.02,29.97,55.03,74.97,79.94,89.9,
178,0.04,10.05,15.02,29.97,55.02,74.97,79.94,89.91,
179,0.06,10.05,15.03,30.0,55.03,74.98,79.94,89.9,
180,0.05,10.03,15.02,29.98,55.04,74.97,79.95,89.89,
181,0.06,10.06,15.03,29.98,55.02,74.95,79.94,89.9,
182,0.05,10.05,15.02,29.98,55.02,74.95,79.96,89.91,
183,0.06,10.05,15.02,29.99,55.03,74.97,79.96,89.89,
184,0.08,10.06,15.03,29.98,55.04,74.96,79.95,89.9,
185,0.05,10.03,15.02,29.98,55.03,74.97,79.95,89.9,
186,0.05,10.05,15.03,29.99,55.03,74.96,79.95,89.92,
187,0.04,10.06,15.02,29.98,55.03,74.97,79.95,89.9,
188,0.06,10.06,15.02,29.99,55.02,74.97,79.97,89.9,
189,0.07,10.06,15.02,29.98,55.04,74.98,79.95,89.9,
190,0.05,10.05,15.02,29.98,55.02,74.94,79.95,89.9,
191,0.05,10.06,15.02,29.98,55.03,74.97,79.95,89.89,
192,0.05,10.03,15.02,29.99,55.03,74.95,79.95,89.91,
193,0.06,10.05,15.02,29.98,55.03,74.97,79.95,89.92,
194,0.05,10.05,15.05,29.99,55.03,74.98,79.95,89.9,
195,0.05,10.06,15.02,29.99,55.02,74.98,79.97,89.92,
196,0.04,10.04,15.0,29.98,55.03,74.97,79.97,89.91,
197,0.04,10.02,15.02,29.98,55.04,74.97,79.95,89.9,
198,0.05,10.03,15.02,29.98,55.04,74.97,79.98,89.91,
199,0.07,10.07,15.03,29.98,55.02,74.95,79.97,89.9,
200,0.04,10.06,15.02,30.0,55.04,74.97,79.95,89.91,
201,0.05,10.02,15.06,29.99,55.02,74.97,79.95,89.89,
202,0.05,10.05,15.03,29.98,55.04,74.98,79.95,89.9,
203,0.06,10.05,15.03,29.98,55.03,74.97,79.95,89.9,
204,0.06,10.05,15.02,30.0,55.03,74.97,79.95,89.91,
205,0.07,10.06,15.04,29.98,55.04,74.98,79.94,89.9,
206,0.04,10.02,15.03,29.98,55.02,74.97,79.95,89.9,
207,0.05,10.05,15.02,29.98,55.02,74.95,79.94,89.89,
208,0.06,10.05,15.03,30.0,55.04,74.99,79.97,89.91,
209,0.05,10.06,15.04,29.98,55.04,74.97,79.95,89.91,
210,0.05,10.07,15.05,30.01,55.03,74.98,79.97,89.92,
211,0.05,10.06,15.03,29.98,55.04,74.97,79.98,89.91,
212,0.06,10.03,15.03,29.98,55.03,74.98,79.95,89.92,
213,0.05,10.06,15.03,29.96,55.03,75.0,79.97,89.9,
214,0.07,10.05,15.05,30.0,55.03,74.99,79.95,89.92,
215,0.07,10.06,15.05,30.01,55.02,74.98,79.95,89.91,
216,0.05,10.07,15.02,30.0,55.06,74.98,79.95,89.91,
217,0.06,10.05,15.03,30.0,55.03,74.98,79.97,89.9,
218,0.06,10.05,15.03,29.99,55.02,74.99,79.95,89.91,
219,0.06,10.05,15.05,30.0,55.03,74.97,79.97,89.91,
220,0.07,10.06,15.02,30.0,55.04,74.97,79.95,89.9,
221,0.05,10.06,15.02,29.97,55.03,74.97,79.95,89.91,
222,0.07,10.05,15.05,30.0,55.03,74.98,79.97,89.91,
223,0.07,10.05,15.05,29.98,55.04,74.98,79.97,89.92,
224,0.08,10.07,15.05,30.0,55.06,74.98,79.95,89.91,
225,0.06,10.06,15.05,29.99,55.03,74.97,79.95,89.9,
226,0.06,10.06,15.03,30.01,55.04,74.95,79.95,89.91,
227,0.07,10.06,15.03,30.0,55.03,74.99,79.97,89.91,
228,0.06,10.06,15.03,30.0,55.04,74.97,79.95,89.91,
229,0.06,10.06,15.03,30.0,55.02,74.98,79.97,89.9,
230,0.07,10.06,15.02,29.98,55.03,74.97,79.95,89.9,
231,0.05,10.06,15.03,29.98,55.04,74.98,79.98,89.91,
232,0.06,10.06,15.02,30.01,55.04,74.98,79.95,89.92,
233,0.08,10.06,15.06,30.0,55.04,74.98,79.98,89.92,
234,0.05,10.06,15.06,29.98,55.03,74.98,79.95,89.92,
235,0.07,10.06,15.05,30.0,55.03,74.98,79.95,89.9,
236,0.06,10.07,15.02,29.98,55.04,74.98,79.95,89.91,
237,0.06,10.06,15.05,29.98,55.04,74.97,79.95,89.91,
238,0.07,10.07,15.04,30.01,55.04,74.98,79.95,89.92,
239,0.07,10.06,15.03,29.98,55.04,74.98,79.96,89.92,
240,0.06,10.06,15.03,29.98,55.03,74.95,79.97,89.9,
241,0.07,10.06,15.02,30.0,55.04,74.95,79.97,89.92,
242,0.07,10.07,15.02,30.0,55.04,74.98,79.95,89.91,
243,0.05,10.07,15.06,29.98,55.04,74.98,79.95,89.91,
244,0.07,10.07,15.05,29.98,55.06,74.98,79.95,89.9,
245,0.06,10.07,15.05,29.98,55.04,74.99,79.97,89.92,
246,0.05,10.05,15.02,30.01,55.03,74.95,79.97,89.91,
247,0.07,10.06,15.03,30.01,55.04,74.97,79.95,89.9,
248,0.07,10.06,15.03,30.01,55.03,74.94,79.95,89.9,
249,0.07,10.06,15.02,29.98,55.04,74.97,79.95,89.91,
250,0.06,10.06,15.05,29.99,55.03,74.98,79.96,89.91,
251,0.06,10.06,15.03,29.98,55.03,74.97,79.97,89.92,
252,0.07,10.06,15.02,29.99,55.04,74.98,79.93,89.91,
253,0.05,10.05,15.02,29.99,55.03,74.95,79.95,89.9,
254,0.05,10.07,15.02,30.0,55.03,74.97,79.95,89.91,
255,0.05,10.07,15.03,30.0,55.03,74.95,79.95,89.91,
256,0.05,10.03,15.02,29.96,55.02,74.97,79.95,89.9,
