 count,120,110,90, 70, 50, 30, 10, 0, -10, -30, -50, -70, -89,-90,-110,-120
53,120.08,110.04,90.09,70.05,50.09,29.98,9.97,0.0,-9.93,-29.95,-49.9,-69.88,-88.8,-89.79,-109.8,-119.8,
54,120.09,110.04,90.11,70.05,50.11,29.98,9.98,0.0,-9.94,-29.95,-49.88,-69.93,-88.8,-89.77,-109.8,-119.8,
55,120.08,110.01,90.08,70.06,50.09,29.96,9.97,-0.01,-9.96,-29.93,-49.9,-69.87,-88.81,-89.8,-109.8,-119.8,
56,120.08,110.05,90.11,70.05,50.11,29.97,9.97,0.0,-9.96,-29.93,-49.88,-69.88,-88.8,-89.8,-109.8,-119.81,
57,120.09,110.05,90.09,70.05,50.11,29.98,9.97,0.0,-9.94,-29.94,-49.88,-69.87,-88.81,-89.81,-109.8,-119.8,
58,120.11,110.05,90.08,70.06,50.11,29.96,10.0,0.0,-9.97,-29.92,-49.9,-69.94,-88.8,-89.8,-109.8,-119.8,
59,120.08,110.04,90.09,70.06,50.11,29.98,9.98,0.0,-9.97,-29.94,-49.88,-69.87,-88.83,-89.8,-109.8,-119.81,
60,120.09,110.02,90.12,70.06,50.11,29.98,10.0,0.0,-9.96,-29.94,-49.9,-69.91,-88.79,-89.79,-109.8,-119.8,
61,120.08,110.05,90.08,70.06,50.11,29.97,10.01,0.01,-9.96,-29.93,-49.9,-69.91,-88.81,-89.79,-109.81,-119.83,
62,120.08,110.04,90.11,70.06,50.11,29.96,9.98,0.01,-9.94,-29.94,-49.9,-69.91,-88.8,-89.83,-109.81,-119.8,
63,120.08,110.04,90.08,70.05,50.11,29.98,10.02,0.0,-9.97,-29.93,-49.88,-69.91,-88.8,-89.8,-109.81,-119.81,
64,120.09,110.02,90.11,70.06,50.13,29.97,9.97,0.0,-9.93,-29.94,-49.88,-69.88,-88.83,-89.81,-109.8,-119.81,
65,120.08,110.04,90.08,70.06,50.11,29.96,9.98,0.0,-9.94,-29.95,-49.88,-69.88,-88.8,-89.83,-109.81,-119.8,
66,120.12,110.01,90.09,70.04,50.11,29.97,10.0,0.01,-9.94,-29.95,-49.88,-69.91,-88.81,-89.79,-109.8,-119.8,
67,120.11,110.02,90.09,70.05,50.09,29.96,10.0,0.0,-9.97,-29.95,-49.9,-69.93,-88.8,-89.8,-109.8,-119.8,
68,120.12,110.02,90.09,70.05,50.11,29.97,9.98,-0.01,-9.97,-29.93,-49.9,-69.9,-88.83,-89.81,-109.8,-119.83,
69,120.08,110.04,90.12,70.08,50.11,29.97,9.98,0.0,-9.93,-29.92,-49.9,-69.9,-88.8,-89.81,-109.79,-119.8,
70,120.11,110.02,90.12,70.05,50.11,29.97,9.97,0.0,-9.97,-29.92,-49.9,-69.9,-88.81,-89.81,-109.81,-119.83,
71,120.12,110.05,90.12,70.05,50.11,29.98,10.0,-0.01,-9.96,-29.94,-49.86,-69.9,-88.81,-89.8,-109.8,-119.8,
72,120.11,110.01,90.13,70.08,50.13,30.0,10.0,0.0,-9.97,-29.92,-49.88,-69.9,-88.81,-89.8,-109.8,-119.8,
73,120.09,110.05,90.11,70.05,50.11,30.0,10.0,-0.01,-9.97,-29.94,-49.86,-69.9,-88.8,-89.79,-109.83,-119.8,
74,120.09,110.05,90.08,70.06,50.11,29.97,9.98,0.01,-9.94,-29.97,-49.88,-69.91,-88.81,-89.81,-109.81,-119.81,
75,120.08,110.04,90.09,70.05,50.11,29.96,9.97,0.0,-9.96,-29.92,-49.88,-69.87,-88.81,-89.8,-109.8,-119.8,
76,120.09,110.05,90.12,70.08,50.11,29.98,9.98,0.0,-9.97,-29.95,-49.91,-69.91,-88.81,-89.8,-109.8,-119.81,
77,120.09,110.01,90.08,70.05,50.13,29.96,10.0,-0.01,-9.97,-29.93,-49.9,-69.88,-88.8,-89.81,-109.8,-119.8,
78,120.09,110.05,90.09,70.05,50.09,29.97,10.02,0.0,-9.93,-29.93,-49.88,-69.88,-88.8,-89.8,-109.8,-119.8,
79,120.11,110.05,90.11,70.04,50.11,29.96,9.97,-0.01,-9.94,-29.95,-49.88,-69.91,-88.81,-89.8,-109.79,-119.8,
80,120.09,110.02,90.11,70.04,50.09,29.96,9.98,0.0,-9.96,-29.92,-49.86,-69.88,-88.8,-89.77,-109.81,-119.8,
81,120.09,110.02,90.08,70.05,50.11,29.96,10.0,-0.01,-9.94,-29.93,-49.9,-69.88,-88.8,-89.8,-109.79,-119.8,
82,120.09,110.04,90.12,70.05,50.09,29.95,9.97,0.0,-9.94,-29.95,-49.88,-69.88,-88.81,-89.8,-109.79,-119.8,
83,120.08,110.04,90.12,70.06,50.11,29.97,9.97,-0.01,-9.96,-29.94,-49.88,-69.91,-88.8,-89.81,-109.8,-119.81,
84,120.08,110.01,90.09,70.06,50.11,29.96,9.97,0.0,-9.97,-29.94,-49.9,-69.88,-88.81,-89.83,-109.83,-119.81,
85,120.09,110.04,90.11,70.06,50.11,29.98,9.98,0.01,-9.97,-29.94,-49.9,-69.91,-88.8,-89.8,-109.77,-119.8,
